datetime,road_id,road_km,rem_id,year_span,remuch_start,remuch_end,length
2016-01-01,9,1213,121312262016,2016,1213.0,1226.218,12.863
2016-01-01,9,1214,121312262016,2016,1213.0,1226.218,12.863
2016-01-01,9,1215,121312262016,2016,1213.0,1226.218,12.863
2016-01-01,9,1216,121312262016,2016,1213.0,1226.218,12.863
2016-01-01,9,1217,121312262016,2016,1213.0,1226.218,12.863
2016-01-01,9,1218,121312262016,2016,1213.0,1226.218,12.863
2016-01-01,9,1219,121312262016,2016,1213.0,1226.218,12.863
2016-01-01,9,1220,121312262016,2016,1213.0,1226.218,12.863
2016-01-01,9,1221,121312262016,2016,1213.0,1226.218,12.863
2016-01-01,9,1222,121312262016,2016,1213.0,1226.218,12.863
2016-01-01,9,1223,121312262016,2016,1213.0,1226.218,12.863
2016-01-01,9,1224,121312262016,2016,1213.0,1226.218,12.863
2016-01-01,9,1225,121312262016,2016,1213.0,1226.218,12.863
2016-01-01,9,1226,121312262016,2016,1213.218,1226.218,12.863
2015-01-01,9,473,4734732015,2015,473.0,473.1,0.1
2015-01-01,9,363,3633632015,2015,363.0,363.1,0.1
2018-01-01,9,479,4794792018,2018,479.0,479.1,0.1
2015-01-01,9,621,62164020152016,2015-2016,621.0,640.0,19.0
2015-01-01,9,622,62164020152016,2015-2016,621.0,640.0,19.0
2015-01-01,9,622,62164020152016,2015-2016,621.0,640.0,19.0
